ID,type,name,longitude,latitude,destination_id
1770,dive_center,Stockholm Divers,18.00633,59.330815,1185
1771,dive_center,Ostens Dykservice,18.281034,57.622596,1186
1772,dive_center,Tec 'n Rec Diving,11.917258,57.701908,765
1773,dive_center,Norrlands Dykservice,21.182045,64.669459,1187
1774,dive_center,H2O Diving Lund,13.19179,55.71082,1188
1775,dive_center,Råå Aqua Resort,12.746893,55.992246,1189
1776,dive_center,Megadyk,12.848158,55.874208,1190
1777,dive_center,Gasbolaget i Dalarna,15.775145,60.557543,1191
1778,dive_center,Grahams Dykteknik,16.524043,59.368229,1192
1779,dive_center,Halmstad Dykservice,12.802797,56.661209,1193
1753,dive_center,Sukellustiimi OY,26.72989,60.851187,1170
1781,dive_center,Varuste.net,24.861245,60.236573,1179
1782,dive_center,EW Dive,25.606208,60.980357,1175
1784,dive_center,Havsport Trondheim,10.403042,63.43144,1195
1785,dive_center,Ålesunds Dykkersenter AS,6.153387,62.473155,1180
1786,dive_center,Bergen Froskemanncenter,5.329894,60.387608,1184
1787,dive_center,Dykkersentret AS,18.975498,69.669098,1196
1788,dive_center,Jaeren Dykkesenter,5.73496,58.972013,1197
1789,dive_center,Alf Lea as | dykk.no,5.262739,59.413108,1181
1790,dive_center,Dykkerhuset Moss,10.700076,59.406088,1182
1791,dive_center,Prodykk Oslo,10.595586,59.779035,2303
1792,dive_center,Norway Diving,10.260626,63.283834,2947
1793,dive_center,Visit Plura,14.731533,66.282171,1200
1794,dive_center,Team Divers,17.825908,59.41922,1201
1795,dive_center,Ystads Dyk & Marin,13.831485,55.431564,1202
1796,dive_center,Octopus,16.349588,56.668068,1203
1797,dive_center,Flying Divers,11.907034,57.690203,765
1798,dive_center,Skånsk Dykservice,13.067406,55.673138,1204
1799,dive_center,Dykhuset Scubahouse Stockholm AB,18.048293,59.331557,1185
1800,dive_center,Lycksele Sport & Dyk,18.655109,64.587277,6227
1801,dive_center,West Point Divers,11.265854,58.673416,1206
1802,dive_center,Atlantis Dykspecialisten,14.163744,57.781639,1207
1803,dive_center,Växjö Dyksport,14.795715,56.879042,1208
1805,dive_center,Smögen Dyk & Upplevelse,11.224676,58.353609,1210
1806,dive_center,Scuba Divers Göteborg,12.001237,57.747716,765
1808,dive_center,Eco Dive Stockholm AB,18.00633,59.330815,1185
1809,dive_center,Stockholms Dykcenter,18.057683,59.336573,1185
1810,dive_center,W-Dyk,14.224634,60.504941,1211
1811,dive_center,Ostens Dykservice,18.734115,57.575903,6177
1780,dive_center,Sirius dyk,19.970895,60.042409,5517
1814,dive_center,Tec n' Rec Diving,11.998523,57.747372,765
1815,dive_center,Fun Dive,22.266713,60.453714,1174
1816,dive_center,Dykkerhuset Moss,10.660398,59.429565,1182
1827,dive_center,Cebu Ernbri Import Inc. / Aquaventure Whitetip Dive Supply,121.015411,14.563974,378
1840,dive_center,Looe Key Dive Center,-81.406886,24.661788,2368
1813,dive_center,Oxygene Diving,11.906824,57.680446,765
1887,dive_center,BEAVER DAM DIVE SHOP,-93.835097,36.408638,4274
1888,dive_center,BEAVER DAM DIVE SHOP & RESORT,-93.835097,36.408638,4274
